slug,name,atoms,level,path
propadienone,propadienone,6,SE,xyz/propadienone.xyz
propadienthione,propadienthione,6,SE,xyz/propadienthione.xyz
propanal,propanal,10,SE,xyz/propanal.xyz
propene,propene,9,SE,xyz/propene.xyz
propyne,propyne,7,SE,xyz/propyne.xyz
protonated_cyanogen,protonated cyanogen,5,SE,xyz/protonated cyanogen.xyz
pyrazole,pyrazole,9,SE,xyz/pyrazole.xyz
pyridazine,pyridazine,10,SE,xyz/pyridazine.xyz
pyridine,pyridine,11,SE,xyz/pyridine.xyz
pyrimidine,pyrimidine,10,SE,xyz/pyrimidine.xyz
pyrrole,pyrrole,10,SE,xyz/pyrrole.xyz
pyruvic_acid,pyruvic acid,10,SE,xyz/pyruvic acid.xyz
succinic_anhydride,succinic anhydride,11,SE,xyz/succinic anhydride.xyz
sulfine,sulfine,5,SE,xyz/sulfine.xyz
sulfonium,sulfonium,4,SE,xyz/sulfonium.xyz
sulfur_dioxide,sulfur dioxide,3,SE,xyz/sulfur dioxide.xyz
thiazole,thiazole,8,SE,xyz/thiazole.xyz
thiirane,thiirane,7,SE,xyz/thiirane.xyz
thioformaldehyde,thioformaldehyde,4,SE,xyz/thioformaldehyde.xyz
thioketene,thioketene,5,SE,xyz/thioketene.xyz
thiophene,thiophene,9,SE,xyz/thiophene.xyz
trans_acrolein,trans-acrolein,8,SE,xyz/trans-acrolein.xyz
trans_formic_acid,trans-formic acid,5,SE,xyz/trans-formic acid.xyz
trans_glyoxal,trans-glyoxal,6,SE,xyz/trans-glyoxal.xyz
uracil,uracil,12,SE,xyz/uracil.xyz
vinyl_fluoride,vinyl fluoride,6,SE,xyz/vinyl fluoride.xyz
water,water,3,SE,xyz/water.xyz
